ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2018,4,CORDOBA,TIERRALTA,3055,92349,93
2018,3,BOYACA,SABOYA,89,13588,14
2018,4,HUILA,RIVERA,339,24312,25
2019,1,BOYACA,SATIVASUR,40,1100,2
2019,1,GUAINIA,MORICHAL,25,937,1
2019,2,ANTIOQUIA,LA PINTADA,976,8298,9
2018,4,MAGDALENA,TENERIFE,10,13236,14
2018,4,HUILA,LA PLATA,1946,61026,61
2019,3,ANTIOQUIA,ANDES,3320,43713,44
2018,4,MAGDALENA,PIVIJAY,848,37341,38
2019,2,SANTANDER,JORDAN,15,1325,1
2019,3,CASANARE,MANI,840,17359,18
2019,1,NARI�O,CUASPUD,154,9199,10
2019,4,RISARALDA,GUATICA,153,12108,13
2018,3,NORTE DE SANTANDER,PUERTO SANTANDER,283,8502,9
2019,4,BOYACA,GARAGOA,358,18144,19
2019,3,BOYACA,LA UVITA,85,2831,4
2019,2,TOLIMA,PIEDRAS,232,6737,7
2018,4,BOLIVAR,SANTA ROSA,664,20963,22
2019,2,BOYACA,CIENEGA,126,4642,5
2019,2,NORTE DE SANTANDER,TEORAMA,644,17040,18
2019,2,HUILA,CAMPOALEGRE,2471,31195,31
2019,1,BOYACA,LABRANZAGRANDE,71,3501,4
2019,3,SANTANDER,CHIMA,41,2865,4
2019,3,NORTE DE SANTANDER,CHITAGA,102,12042,12
2019,1,SANTANDER,SANTA BARBARA,33,2425,3
2019,4,SANTANDER,MOLAGAVITA,19,4105,5
2019,1,NARI�O,EL TAMBO,155,13986,14
2019,3,NORTE DE SANTANDER,TEORAMA,715,17040,17
2018,3,BOLIVAR,SANTA ROSA,544,20963,21
2020,1,BOLIVAR,ACHI,50,24900,26
2019,2,CAUCA,TORIBIO,26,36016,36
2019,1,SANTANDER,CHARALA,219,12256,13
2018,4,ANTIOQUIA,ARBOLETES,1091,29295,30
